OBJECTID,NAME,ISO3,COUNTRY,ENGLISH,Pop_sum_old,Pop20_sum,Pop15_sum,Pop15_rw_s,Pop15_pd1_,Pop15_pd2_,Pop15_pd10,Pop20_rw_s,Pop20_pd1_,Pop20_pd2_,Pop20_pd10,Pct20_rw,Pct20_pd1,Pct20_pd2,Pct20_pd10
22,Bangladesh,BGD,Bangladesh,Bangladesh,156671845.7,165888836,156671845.7,139481881.4,115015177.8,114145682.4,113653317.6,"147,687,560","121,781,516","120,860,869","120,339,539",0.890280285,0.7341152,0.72856542,0.72542277
29,Bhutan,BTN,Bhutan,Bhutan,801211.5633,845380.2544,801211.5633,95475.50088,30275.30395,26387.56432,10440.22619,"100,861","31,941","27,840","11,017",0.119308097,0.03778258,0.032931473,0.013031989
20,Brunei,BRN,Brunei,Brunei,426537.0843,454071.3069,426537.0843,109452.4155,67255.65093,61208.92034,37964.96765,"116,515","71,600","65,160","40,413",0.256600912,0.157684393,0.143502504,0.08900202
40,Burma,MMR,Myanmar,Myanmar,53192437.54,55506659.95,53192437.54,22856028.7,17139360.69,17072608.32,16161227.82,"23,850,451","17,884,985","17,815,331","16,864,284",0.42968629,0.32221332,0.320958441,0.303824517
42,Cambodia,KHM,Cambodia,Cambodia,15564113.29,16792974.29,15564113.29,10178391.25,6946667.286,6874228.916,6517178.787,"10,981,811","7,494,740","7,416,578","7,031,344",0.653952699,0.446302124,0.441647644,0.418707503
50,China,CHN,China,China,1368770351,1395431362,1368770351,497477239.7,448547238.3,448055862.3,446189154.1,"507,165,923","457,282,950","456,782,005","454,878,942",0.363447416,0.327700067,0.327341077,0.325977296
113,India,IND,India,India,1309909794,1387651141,1309909794,455523974.8,329483652.4,303145560.2,183050461.6,"482,558,357","349,037,412","321,136,203","193,913,725",0.347751926,0.251531096,0.231424307,0.139742418
114,Indonesia,IDN,Indonesia,Indonesia,254736264.8,268873110.6,254736264.8,106500684.1,62669291.44,59090298.39,43318985.57,"112,411,005","66,147,148","62,369,537","45,722,989",0.418081991,0.246016225,0.231966435,0.170054153
122,Japan,JPN,Japan,Japan,122805345.4,121316570.7,122805345.4,18129387.69,17034955.59,17034821.51,16959627.81,"17,909,604","16,828,440","16,828,308","16,754,025",0.147627024,0.138715099,0.138714007,0.138101707
134,Laos,LAO,Laos,Laos,6776465.309,7368966.885,6776465.309,1663969.306,1405524.941,1402849.831,1293995.802,"1,809,521","1,528,610","1,525,701","1,407,310",0.245559712,0.20743887,0.207044043,0.190977989
147,Malaysia,MYS,Malaysia,Malaysia,29693479.06,31693182.69,29693479.06,11107444.1,7500769.609,7266869.193,4731694.503,"11,855,426","8,005,539","7,755,880","5,049,968",0.374068651,0.252594987,0.244717622,0.159339265
168,Nepal,NPL,Nepal,Nepal,28390431.56,30053902.88,28390431.56,12551829.87,11149079.59,10931057.88,6588853.457,"13,287,306","11,802,365","11,571,569","6,974,930",0.442115832,0.392706559,0.385027159,0.232080676
177,North Korea,PRK,North Korea,North Korea,24896872.29,25497729.08,24896872.29,6685641.835,5971649.16,5969334.472,5958615.53,"6,847,007","6,115,804","6,113,433","6,102,456",0.268534007,0.239856811,0.23976384,0.239333303
181,Pakistan,PAK,Pakistan,Pakistan,189110649.2,208638433.5,189110649.2,42842040.06,12138963.08,11635899.6,4765353.098,"47,263,066","13,391,841","12,836,824","5,257,390",0.226530969,0.064186837,0.06152665,0.025198567
186,Papua New Guinea,PNG,Papua New Guinea,Papua New Guinea,6799407.439,6799407.439,6799407.439,366722.7632,331038.3756,285647.1481,8543.246246,"366,723","331,038","285,647","8,543",0.053934518,0.048686357,0.042010594,0.001256469
189,Philippines,PHL,Philippines,Philippines,98427241.3,105989048.9,98427241.3,35751011.55,22948149.29,22787967.28,22019900.96,"38,497,623","24,711,179","24,538,691","23,711,617",0.363222653,0.233148421,0.231521005,0.223717611
214,Singapore,SGP,Singapore,Singapore,5195438.717,5569047.404,5195438.717,1392319.062,594709.9036,594709.9036,594709.9036,"1,492,442","637,476","637,476","637,476",0.267988738,0.114467697,0.114467697,0.114467697
222,South Korea,KOR,South Korea,South Korea,49092544.77,50027787.55,49092544.77,12575263.02,10226847.8,10195372.07,9585965.254,"12,814,827","10,421,666","10,389,591","9,768,575",0.256154178,0.208317551,0.207676401,0.19526299
225,Sri Lanka,LKA,Sri Lanka,Sri Lanka,20502309.65,20940177.02,20502309.65,4436731.664,1139574.318,797208.2879,310905.053,"4,531,487","1,163,912","814,234","317,545",0.216401554,0.055582729,0.038883828,0.015164392
233,Taiwan,TWN,Taiwan,Taiwan,22924013.78,22945005.3,22924013.78,3267340.512,1425440.163,1422372.279,1422188.634,"3,270,332","1,426,745","1,423,675","1,423,491",0.142529164,0.06218109,0.062047262,0.062039251
236,Thailand,THA,Thailand,Thailand,67764565.11,68391634.5,67764565.11,32461275.91,16592152.49,16569417.92,15560862.92,"32,760,777","16,744,924","16,721,982","15,704,098",0.47901731,0.244838781,0.244503321,0.229620166
237,Timor-Leste,TLS,East Timor,East Timor,1173043.352,1301507.986,1173043.352,99145.97349,5976.42108,5976.42108,2300.201838,"110,005","6,631","6,631","2,552",0.084521562,0.005094876,0.005094876,0.001960913
257,Vietnam,VNM,Vietnam,Vietnam,92828278.28,97505585.43,92828278.28,62285528.27,48240882.31,48179346.59,47750489.34,"65,424,018","50,671,759","50,607,123","50,156,647",0.670977135,0.519680581,0.519017679,0.514397685
