NAME,ISO3,GDP,Campbell,Campbell_Inc
Bangladesh,BGD,1909,g,2
Bhutan,BTN,3243,g,2
Brunei,BRN,31087,g,2
Myanmar,MMR,1408,d,5
Cambodia,KHM,1643,d,5
China,CHN,10262,c,4
India,IND,2104,f,3
Indonesia,IDN,4136,e,4
Japan,JPN,40247,a,5
Laos,LAO,2535,d,5
Malaysia,MYS,11415,e,3
Nepal,NPL,1071,f,5
North Korea,PRK,688,i,4
Pakistan,PAK,1285,b,1
Papua New Guinea,PNG,2845,e,3
Philippines,PHL,3485,d,5
Singapore,SGP,65233,b,1
South Korea,KOR,31762,a,5
Sri Lanka,LKA,3853,h,4
Taiwan,TWN,26910,a,5
Thailand,THA,7808,h ,4
Timor-Leste,TLS,1294,d,5
Vietnam,VNM,2715,h,4
